continent,Sum of draws_last_4y,Sum of fifa_points_pre_tournament,Sum of finalist,Sum of finals_before,Goal Difference,Sum of goals_received_last_4y,Sum of groups_passed_before,Sum of goals_scored_last_4y,Is Argentina Final,Sum of is_host,Sum of losses_last_4y,Sum of quarter_finalist,Sum of quarterfinals_before,Rank Pre Tournemnt,Sum of Rank Pre Tournment,Sum of Real Finals,Sum of Real Quarterfinals,Sum of Real Semifinals,Sum of round16_before,Sum of semi_finalist,Sum of semifinals_before,Squad Value (M),Sum of squad_avg_age,Sum of squad_total_market_value_eur,team,Total Draws,Total Goals Scored,Total Losses,Total Wins,Win Rate %,Sum of winner,Sum of wins_last_4y,Sum of world_cup_participations_before,Sum of world_cup_titles_before,Year
Europe,10,802,0,1,62,39,6,101,,0,6,0,5,1,1,4,8,6,4,0,4,,28.84,,France,10,101,6,33,67.35%,0,33,10,1,2002
Europe,13,749,1,1,77,23,6,100,,0,3,1,5,8,8,4,8,6,4,1,4,1350,26.8,1350000000,France,13,100,3,33,67.35%,0,33,11,1,2006
Europe,11,1044,0,2,30,37,7,67,,0,11,0,6,9,9,4,8,6,5,0,5,1290,26.8,1290000000,France,11,67,11,26,54.17%,0,26,12,1,2010
Europe,12,913,0,0,48,34,0,82,,0,10,1,0,17,17,4,8,6,0,0,0,379,26.84,379000000,France,12,82,10,27,55.10%,0,27,0,0,2014
Europe,8,1198,1,2,51,45,8,96,,0,8,1,7,7,7,4,8,6,6,1,5,1029.47,26.03,1029470000,France,8,96,8,33,67.35%,1,33,14,1,2018
Europe,12,1759.78,1,7,61,40,9,101,,0,6,1,12,4,4,4,8,6,7,1,6,1030,26.5,1030000000,France,12,101,6,31,63.27%,0,31,15,2,2022
South America,10,784,0,7,36,34,10,70,,0,5,0,6,3,3,6,9,6,5,0,4,,28.83,,Argentina,10,70,5,23,60.53%,0,23,12,2,2002
South America,10,746,0,7,42,55,10,97,,0,10,1,6,9,9,6,9,6,5,0,4,777.2,27.8,777200000,Argentina,10,97,10,31,60.78%,0,31,13,2,2006
South America,8,1076,0,7,34,50,11,84,,0,12,1,7,7,7,6,9,6,6,0,4,575,27.9,575000000,Argentina,8,84,12,29,59.18%,0,29,14,2,2010
South America,15,1175,1,0,52,46,0,98,,0,7,1,0,5,5,6,9,6,0,1,0,392,28.92,392000000,Argentina,15,98,7,29,56.86%,0,29,0,0,2014
South America,12,1241,0,7,55,40,13,95,,0,8,0,9,5,5,6,9,6,8,0,5,678.32,29.52,678320000,Argentina,12,95,8,27,57.45%,0,27,16,2,2018
South America,13,1773.88,1,7,71,27,14,98,,0,4,1,9,3,3,6,9,6,9,1,5,645.2,27.8,645200000,Argentina,13,98,4,33,66.00%,1,33,17,2,2022
South America,12,784,1,7,91,53,14,144,,0,13,1,12,2,2,7,12,10,6,1,6,,26.7,,Brazil,12,144,13,38,60.32%,1,38,16,4,2002
South America,17,827,0,7,70,47,15,117,,0,9,1,11,1,1,7,12,10,7,0,10,858.5,27.1,858500000,Brazil,17,117,9,30,53.57%,0,30,17,5,2006
South America,11,1611,0,7,77,37,16,114,,0,5,1,12,1,1,7,12,10,8,0,10,932,27.8,932000000,Brazil,11,114,5,38,70.37%,0,38,18,5,2010
South America,10,1242,0,0,87,38,0,125,,1,8,1,0,3,3,7,12,10,0,1,0,468,28.36,468000000,Brazil,10,125,8,37,67.27%,0,37,0,0,2014
South America,8,1430,0,7,73,22,18,95,,0,4,1,12,2,2,7,12,10,10,0,6,980.02,28.6,980020000,Brazil,8,95,4,33,73.33%,0,33,20,5,2018
South America,10,1841.3,0,7,92,19,19,111,,0,3,1,12,1,1,7,12,10,11,0,6,1140,27.9,1140000000,Brazil,10,111,3,37,74.00%,0,37,21,5,2022
