Argentina Goals,Attendance,Avg Attendance,AttendanceAvg,Brazil Goals,Champion,France Goals,Finals Reached,Host,Is Argentina Final,Is Brazil Final,Is France Final,Runner-Up,Matches,Teams,Titles Won,TopScorrer,Total Championships,Total Goals,Total Historical Goals,Year
,819810,23423,23423,16,Brazil,,,Sweden,0,1,0,Sweden,35,16,,Just Fontaine - 13,,126,,1958
,893172,27912,27912,14,Brazil,,,Chile,0,1,0,Czechoslovakia,32,16,,"Leonel SÃ¡nchez, FlÃ³riÃ¡n Albert... - 4",,89,,1962
,1045246,47511,47511,22,Uruguay,,,Brazil,0,1,0,Brazil,22,13,,Ademir - 7,,88,,1950
,1603975,50124,50124,19,Brazil,,,Mexico,0,1,0,Italy,32,16,,Gerd MÃ¼ller - 10,,95,,1970
,2705337,42271,42271,18,Brazil,,,"Korea Republic, Japan",0,1,0,Germany,64,32,,Ronaldo - 8,,161,,2002
,2903477,45367,45367,14,France,15,,France,0,1,1,Brazil,64,32,,Davor Å uker - 6,,171,,1998
,3031768,47371,47371,,France,14,,Russia,0,0,1,Croatia,64,32,,Harry Kane - 6,,169,,2018
,3359439,52491,52491,,Italy,9,,Germany,0,0,1,France,64,32,,Miroslav Klose - 5,,147,,2006
,3587538,68991,68991,11,Brazil,,,United States,0,1,0,Italy,52,24,,"Hristo Stoichkov, Oleg Salenko - 6",,141,,1994
5,2516215,48389,48389,,West Germany,,,Italy,1,0,0,Argentina,52,24,,Salvatore Schillaci - 6,,115,,1990
8,3429873,53592,53592,,Germany,,,Brazil,1,0,0,Argentina,64,32,,James Rodríguez - 6,,171,,2014
14,2394031,46039,46039,,Argentina,,,Mexico,1,0,0,West Germany,52,24,,Gary Lineker - 6,,132,,1986
15,1545791,40679,40679,,Argentina,,,Argentina,1,0,0,Netherlands,38,16,,Mario Kempes - 6,,102,,1978
15,3404252,53191,53191,,Argentina,16,,Qatar,1,0,1,France,64,32,,Kylian MbappÃ© - 8,,172,,2022
18,434500,24139,24139,,Uruguay,,,Uruguay,1,0,0,Argentina,18,13,,Guillermo Stábile - 8,,70,,1930
